firstName,lastName,bcubeID
Freddy,Peralta,183366
Freddy,Peralta,183366
Freddy,Peralta,183366
Merandy,Gonzalez,183436
Mike,King,183519
Connor,Jones,183523
Nabil,Crismatt,183620
Emmanuel,Ramirez,183671
Ariel,Jurado,183869
Jonathan,Hernandez,183870
Dedgar,Jimenez,183972
Zach,Plesac,184088
Gregory,Soto,184227
Shane,Bieber,184390
Shane,Bieber,184390
Domingo,Acevedo,184473
Francis,Martes,184553
Francis,Martes,184553
John,Parke,184594
Josh,Rogers,184637
Josh,Rogers,184637
Josh,Rogers,184637
Darien,Nunez,184783
Keegan,Akin,184800
Bailey,Clark,184899
Bryan,Sammons,184927
Bryan,Sammons,184927
Luis,Perdomo,184948
Luis,Perdomo,184948
Blake,Battenfield,185087
Zac,Gallen,185128
Jimmy,Lambert,185161
J.D.,Busfield,185193
Jordan,Romano,185287
Jordan,Romano,185287
Corbin,Burnes,185678
Bryce,Conley,185772
Paul,Balestrieri,185928
Brian,Howard,186521
Brian,Howard,186521
Bruce,Zimmermann,186544
Bailey,Ober,187338
Touki,Toussaint,187779
Touki,Toussaint,187779
Touki,Toussaint,187779
Grant,Holmes,187780
Luis,Ortiz,187785
Luis,Ortiz,187785
Justus,Sheffield,187786
Justus,Sheffield,187786
Michael,Kopech,187788
Michael,Kopech,187788
Jack,Flaherty,187789
Jack,Flaherty,187789
Sean,Reid-Foley,187797
Sean,Reid-Foley,187797
Sean,Reid-Foley,187797
Joe,Gatto,187800
Mitch,Keller,187807
Trevor,Oaks,187824
Erik,Swanson,187825
Jeff,Bain,187848
Brad,Bass,187854
Mike,Baumann,187855
Cameron,Bishop,187866
Blake,Bivens,187867
J.B.,Bukauskas,187881
J.B.,Bukauskas,187881
Brock,Burke,187883
Griffin,Canning,187893
Griffin,Canning,187893
Garrett,Cave,187903
Dylan,Cease,187904
Dylan,Cease,187904
Caleb,Ferguson,187959
Caleb,Ferguson,187959
John,Gavin,187975
John,Gavin,187975
Sam,Hentges,188010
Jordan,Holloway,188023
Tanner,Houck,188027
Andre,Jackson,188031
Joshua,James,188033
Joshua,James,188033
Joshua,James,188033
Jake,Latz,188070
Mac,Marshall,188097
Brendan,McKay,188106
Brendan,McKay,188106
Sam,McWilliams,188109
Nick,Nelson,188134
Nick,Nelson,188134
Nick,Nelson,188134
Jacob,Nix,188137
Jacob,Nix,188137
C.D.,Pelham,188158
David,Peterson,188162
David,Peterson,188162
Brady,Puckett,188169
Brady,Puckett,188169
Justin,Steele,188231
